ID,age,car_type,Loanamount,Deposit,area,APR,application_outcome,Funded,Loanamount_Grouped,Deposit_Grouped,Age_Grouped,Net_Exposure,funded_flag,approved_flag
9931,40,Convertible,12948.0,886.0,rural,0.1,approved,Yes,"12,000-14,399","600-1,199",36-40,12062.0,1,1
9928,38,SUV,16765.0,1170.0,rural,0.25,approved,No,"14,400-16,799","600-1,199",36-40,15595.0,0,1
9927,18,Saloon,12558.0,1551.0,rural,0.0,declined,N/A,"12,000-14,399","1,200-1,799",18-20,11007.0,0,0
9922,26,Saloon,14580.0,917.0,rural,0.0,declined,N/A,"14,400-16,799","600-1,199",26-30,13663.0,0,0
9921,27,Convertible,9500.0,846.0,rural,0.0,declined,N/A,"7,200-9,599","600-1,199",26-30,8654.0,0,0
9920,18,Saloon,12525.0,666.0,urban,0.0,declined,N/A,"12,000-14,399","600-1,199",18-20,11859.0,0,0
9918,47,Saloon,7779.0,989.0,urban,0.15,approved,No,"7,200-9,599","600-1,199",46-50,6790.0,0,1
9915,65,Saloon,15198.0,1293.0,urban,0.25,approved,Yes,"14,400-16,799","1,200-1,799",61-65,13905.0,1,1
9914,52,SUV,3891.0,723.0,rural,0.1,approved,No,"<4,800","600-1,199",51-55,3168.0,0,1
9911,49,SUV,18466.0,1071.0,rural,0.0,declined,N/A,"16,800-19,199","600-1,199",46-50,17395.0,0,0
9910,27,Convertible,20383.0,698.0,urban,0.15,approved,No,"19,200-21,599","600-1,199",26-30,19685.0,0,1
9907,57,Convertible,17519.0,1666.0,rural,0.2,approved,No,"16,800-19,199","1,200-1,799",56-60,15853.0,0,1
9904,38,Saloon,15760.0,1267.0,urban,0.25,approved,No,"14,400-16,799","1,200-1,799",36-40,14493.0,0,1
9902,50,Saloon,5689.0,681.0,urban,0.0,declined,N/A,"4,800-7,199","600-1,199",46-50,5008.0,0,0
9892,43,SUV,11053.0,1182.0,urban,0.25,approved,No,"9,600-11,999","600-1,199",41-45,9871.0,0,1
9891,35,Convertible,26100.0,1093.0,urban,0.0,declined,N/A,">=24,000","600-1,199",31-35,25007.0,0,0
9890,38,Convertible,19105.0,1422.0,rural,0.05,approved,No,"16,800-19,199","1,200-1,799",36-40,17683.0,0,1
9889,59,SUV,13230.0,654.0,urban,0.15,approved,Yes,"12,000-14,399","600-1,199",56-60,12576.0,1,1
9888,41,Saloon,2950.0,682.0,urban,0.2,approved,No,"<4,800","600-1,199",41-45,2268.0,0,1
9884,36,Saloon,4731.0,772.0,rural,0.15,approved,No,"<4,800","600-1,199",36-40,3959.0,0,1
9882,24,Saloon,5124.0,1461.0,urban,0.15,approved,Yes,"4,800-7,199","1,200-1,799",21-25,3663.0,1,1
9879,19,Saloon,11093.0,1769.0,urban,0.0,declined,N/A,"9,600-11,999","1,200-1,799",18-20,9324.0,0,0
9878,32,SUV,16748.0,609.0,urban,0.2,approved,Yes,"14,400-16,799","600-1,199",31-35,16139.0,1,1
9874,64,SUV,6925.0,1440.0,urban,0.05,approved,Yes,"4,800-7,199","1,200-1,799",61-65,5485.0,1,1
9872,48,Convertible,24974.0,577.0,urban,0.05,approved,No,">=24,000",<600,46-50,24397.0,0,1
9870,34,Convertible,22891.0,828.0,urban,0.0,declined,N/A,"21,600-23,999","600-1,199",31-35,22063.0,0,0
9868,22,Convertible,19582.0,1007.0,rural,0.0,declined,N/A,"19,200-21,599","600-1,199",21-25,18575.0,0,0
9866,25,Saloon,5639.0,541.0,rural,0.25,approved,No,"4,800-7,199",<600,21-25,5098.0,0,1
9864,40,SUV,15144.0,564.0,urban,0.15,approved,No,"14,400-16,799",<600,36-40,14580.0,0,1
9863,38,Saloon,3113.0,1290.0,urban,0.25,approved,Yes,"<4,800","1,200-1,799",36-40,1823.0,1,1
9862,39,SUV,11439.0,893.0,rural,0.05,approved,Yes,"9,600-11,999","600-1,199",36-40,10546.0,1,1
9861,49,SUV,16387.0,1533.0,urban,0.05,approved,Yes,"14,400-16,799","1,200-1,799",46-50,14854.0,1,1
9859,21,Saloon,6288.0,1016.0,urban,0.15,approved,No,"4,800-7,199","600-1,199",21-25,5272.0,0,1
9858,48,Saloon,5811.0,896.0,urban,0.25,approved,No,"4,800-7,199","600-1,199",46-50,4915.0,0,1
9851,62,Saloon,3282.0,1230.0,urban,0.25,approved,Yes,"<4,800","1,200-1,799",61-65,2052.0,1,1
9848,45,SUV,7069.0,1236.0,urban,0.0,declined,N/A,"4,800-7,199","1,200-1,799",41-45,5833.0,0,0
9845,35,Saloon,6570.0,875.0,rural,0.2,approved,Yes,"4,800-7,199","600-1,199",31-35,5695.0,1,1
9844,22,Saloon,6138.0,1205.0,rural,0.15,approved,No,"4,800-7,199","1,200-1,799",21-25,4933.0,0,1
9840,43,Saloon,13858.0,1640.0,urban,0.2,approved,Yes,"12,000-14,399","1,200-1,799",41-45,12218.0,1,1
9836,19,SUV,17994.0,617.0,rural,0.0,declined,N/A,"16,800-19,199","600-1,199",18-20,17377.0,0,0
9834,55,SUV,4360.0,1001.0,urban,0.1,approved,No,"<4,800","600-1,199",51-55,3359.0,0,1
9833,41,Convertible,20001.0,861.0,urban,0.15,approved,No,"19,200-21,599","600-1,199",41-45,19140.0,0,1
9831,37,Saloon,5339.0,971.0,rural,0.2,approved,Yes,"4,800-7,199","600-1,199",36-40,4368.0,1,1
9829,59,Saloon,2916.0,846.0,rural,0.2,approved,No,"<4,800","600-1,199",56-60,2070.0,0,1
9828,58,Saloon,4411.0,741.0,rural,0.15,approved,No,"<4,800","600-1,199",56-60,3670.0,0,1
9826,43,SUV,7742.0,1498.0,rural,0.25,approved,No,"7,200-9,599","1,200-1,799",41-45,6244.0,0,1
9825,18,Saloon,5977.0,723.0,urban,0.0,declined,N/A,"4,800-7,199","600-1,199",18-20,5254.0,0,0
9824,63,Saloon,4525.0,615.0,urban,0.2,approved,Yes,"<4,800","600-1,199",61-65,3910.0,1,1
9823,37,SUV,4551.0,1223.0,rural,0.25,approved,No,"<4,800","1,200-1,799",36-40,3328.0,0,1
9822,24,Saloon,5197.0,1078.0,rural,0.0,declined,N/A,"4,800-7,199","600-1,199",21-25,4119.0,0,0
9820,21,Saloon,4161.0,1419.0,rural,0.0,declined,N/A,"<4,800","1,200-1,799",21-25,2742.0,0,0
9817,65,Saloon,11209.0,1385.0,urban,0.2,approved,Yes,"9,600-11,999","1,200-1,799",61-65,9824.0,1,1
9815,49,Saloon,6130.0,692.0,urban,0.25,approved,Yes,"4,800-7,199","600-1,199",46-50,5438.0,1,1
9813,52,SUV,4744.0,618.0,urban,0.15,approved,Yes,"<4,800","600-1,199",51-55,4126.0,1,1
9811,37,Saloon,2855.0,1402.0,rural,0.15,approved,No,"<4,800","1,200-1,799",36-40,1453.0,0,1
9810,21,Saloon,3592.0,1035.0,urban,0.0,declined,N/A,"<4,800","600-1,199",21-25,2557.0,0,0
9807,21,Saloon,10396.0,1723.0,urban,0.25,approved,Yes,"9,600-11,999","1,200-1,799",21-25,8673.0,1,1
9804,37,Saloon,5380.0,1255.0,urban,0.15,approved,Yes,"4,800-7,199","1,200-1,799",36-40,4125.0,1,1
9803,36,Saloon,4956.0,678.0,urban,0.2,approved,Yes,"4,800-7,199","600-1,199",36-40,4278.0,1,1
9802,57,Saloon,12415.0,1340.0,rural,0.2,approved,No,"12,000-14,399","1,200-1,799",56-60,11075.0,0,1
9801,57,SUV,19228.0,1716.0,urban,0.2,approved,No,"19,200-21,599","1,200-1,799",56-60,17512.0,0,1
9791,39,Saloon,11917.0,736.0,rural,0.25,approved,No,"9,600-11,999","600-1,199",36-40,11181.0,0,1
9789,63,Saloon,8765.0,740.0,urban,0.15,approved,No,"7,200-9,599","600-1,199",61-65,8025.0,0,1
9787,64,Convertible,13978.0,1208.0,urban,0.05,approved,Yes,"12,000-14,399","1,200-1,799",61-65,12770.0,1,1
9786,50,Convertible,18312.0,1296.0,rural,0.05,approved,No,"16,800-19,199","1,200-1,799",46-50,17016.0,0,1
9785,50,Convertible,19796.0,1397.0,rural,0.1,approved,Yes,"19,200-21,599","1,200-1,799",46-50,18399.0,1,1
9783,51,Saloon,10522.0,656.0,urban,0.25,approved,Yes,"9,600-11,999","600-1,199",51-55,9866.0,1,1
9778,46,SUV,3355.0,731.0,urban,0.2,approved,No,"<4,800","600-1,199",46-50,2624.0,0,1
9776,45,Saloon,9594.0,1222.0,urban,0.15,approved,No,"7,200-9,599","1,200-1,799",41-45,8372.0,0,1
9773,39,SUV,14089.0,1351.0,urban,0.1,approved,No,"12,000-14,399","1,200-1,799",36-40,12738.0,0,1
9772,32,SUV,15820.0,1356.0,urban,0.25,approved,No,"14,400-16,799","1,200-1,799",31-35,14464.0,0,1
9764,19,SUV,4063.0,803.0,urban,0.15,approved,Yes,"<4,800","600-1,199",18-20,3260.0,1,1
9759,30,Saloon,15497.0,931.0,rural,0.0,declined,N/A,"14,400-16,799","600-1,199",26-30,14566.0,0,0
9758,59,Saloon,8281.0,1072.0,rural,0.0,declined,N/A,"7,200-9,599","600-1,199",56-60,7209.0,0,0
9756,29,Saloon,14377.0,1591.0,rural,0.0,declined,N/A,"12,000-14,399","1,200-1,799",26-30,12786.0,0,0
9755,65,SUV,16143.0,841.0,rural,0.0,declined,N/A,"14,400-16,799","600-1,199",61-65,15302.0,0,0
9742,54,SUV,2602.0,673.0,urban,0.05,approved,Yes,"<4,800","600-1,199",51-55,1929.0,1,1
9740,65,SUV,5678.0,1633.0,rural,0.0,declined,N/A,"4,800-7,199","1,200-1,799",61-65,4045.0,0,0
9735,53,SUV,2723.0,1486.0,rural,0.0,declined,N/A,"<4,800","1,200-1,799",51-55,1237.0,0,0
9734,49,Convertible,17122.0,1534.0,rural,0.0,declined,N/A,"16,800-19,199","1,200-1,799",46-50,15588.0,0,0
9731,54,Saloon,2634.0,1385.0,urban,0.2,approved,Yes,"<4,800","1,200-1,799",51-55,1249.0,1,1
9729,38,SUV,8939.0,1669.0,urban,0.1,approved,Yes,"7,200-9,599","1,200-1,799",36-40,7270.0,1,1
9728,19,Convertible,10486.0,1124.0,urban,0.0,declined,N/A,"9,600-11,999","600-1,199",18-20,9362.0,0,0
9725,63,Saloon,4272.0,1109.0,rural,0.0,declined,N/A,"<4,800","600-1,199",61-65,3163.0,0,0
9722,64,Saloon,3245.0,1240.0,urban,0.15,approved,Yes,"<4,800","1,200-1,799",61-65,2005.0,1,1
9720,46,Saloon,6517.0,1464.0,urban,0.15,approved,Yes,"4,800-7,199","1,200-1,799",46-50,5053.0,1,1
9718,34,SUV,10931.0,1209.0,urban,0.0,declined,N/A,"9,600-11,999","1,200-1,799",31-35,9722.0,0,0
9717,63,Convertible,21705.0,802.0,rural,0.0,declined,N/A,"21,600-23,999","600-1,199",61-65,20903.0,0,0
9714,50,Saloon,6830.0,1401.0,urban,0.15,approved,No,"4,800-7,199","1,200-1,799",46-50,5429.0,0,1
9710,21,Convertible,23378.0,650.0,urban,0.0,declined,N/A,"21,600-23,999","600-1,199",21-25,22728.0,0,0
9708,20,SUV,17609.0,1692.0,urban,0.0,declined,N/A,"16,800-19,199","1,200-1,799",18-20,15917.0,0,0
9707,35,Saloon,4057.0,627.0,urban,0.15,approved,No,"<4,800","600-1,199",31-35,3430.0,0,1
9706,39,Saloon,6410.0,1163.0,rural,0.0,declined,N/A,"4,800-7,199","600-1,199",36-40,5247.0,0,0
9704,52,Saloon,7742.0,1473.0,urban,0.15,approved,No,"7,200-9,599","1,200-1,799",51-55,6269.0,0,1
9697,50,SUV,17295.0,1183.0,urban,0.2,approved,No,"16,800-19,199","600-1,199",46-50,16112.0,0,1
9696,37,Saloon,3624.0,903.0,rural,0.0,declined,N/A,"<4,800","600-1,199",36-40,2721.0,0,0
9695,43,Saloon,3082.0,744.0,rural,0.0,declined,N/A,"<4,800","600-1,199",41-45,2338.0,0,0
9692,26,Convertible,18076.0,1306.0,urban,0.0,declined,N/A,"16,800-19,199","1,200-1,799",26-30,16770.0,0,0
9691,18,Saloon,5066.0,536.0,urban,0.15,approved,No,"4,800-7,199",<600,18-20,4530.0,0,1
9687,25,Convertible,14608.0,681.0,rural,0.0,declined,N/A,"14,400-16,799","600-1,199",21-25,13927.0,0,0
9685,42,Saloon,14096.0,991.0,urban,0.15,approved,Yes,"12,000-14,399","600-1,199",41-45,13105.0,1,1
9684,56,Convertible,21001.0,951.0,rural,0.0,declined,N/A,"19,200-21,599","600-1,199",56-60,20050.0,0,0
9683,64,SUV,15805.0,1152.0,urban,0.15,approved,Yes,"14,400-16,799","600-1,199",61-65,14653.0,1,1
9681,22,Convertible,8477.0,634.0,rural,0.0,declined,N/A,"7,200-9,599","600-1,199",21-25,7843.0,0,0
9679,40,Saloon,3024.0,1379.0,urban,0.2,approved,No,"<4,800","1,200-1,799",36-40,1645.0,0,1
9675,37,Convertible,10904.0,1709.0,rural,0.1,approved,Yes,"9,600-11,999","1,200-1,799",36-40,9195.0,1,1
9674,53,SUV,5344.0,1454.0,urban,0.2,approved,Yes,"4,800-7,199","1,200-1,799",51-55,3890.0,1,1
9673,47,SUV,9159.0,727.0,urban,0.0,declined,N/A,"7,200-9,599","600-1,199",46-50,8432.0,0,0
9672,60,Convertible,12469.0,1012.0,rural,0.2,approved,No,"12,000-14,399","600-1,199",56-60,11457.0,0,1
9668,38,SUV,8365.0,690.0,rural,0.25,approved,No,"7,200-9,599","600-1,199",36-40,7675.0,0,1
9666,40,Saloon,6221.0,932.0,urban,0.25,approved,Yes,"4,800-7,199","600-1,199",36-40,5289.0,1,1
9665,26,Convertible,13650.0,1555.0,urban,0.1,approved,No,"12,000-14,399","1,200-1,799",26-30,12095.0,0,1
9664,49,SUV,12540.0,855.0,rural,0.15,approved,No,"12,000-14,399","600-1,199",46-50,11685.0,0,1
9663,19,Convertible,18705.0,665.0,urban,0.1,approved,No,"16,800-19,199","600-1,199",18-20,18040.0,0,1
9661,42,Saloon,2611.0,898.0,urban,0.15,approved,Yes,"<4,800","600-1,199",41-45,1713.0,1,1
9658,58,Saloon,8803.0,1653.0,rural,0.15,approved,Yes,"7,200-9,599","1,200-1,799",56-60,7150.0,1,1
9655,58,Saloon,4086.0,1158.0,urban,0.15,approved,No,"<4,800","600-1,199",56-60,2928.0,0,1
9650,34,Saloon,3974.0,1442.0,rural,0.0,declined,N/A,"<4,800","1,200-1,799",31-35,2532.0,0,0
9648,21,Saloon,4605.0,539.0,rural,0.15,approved,No,"<4,800",<600,21-25,4066.0,0,1
9647,48,Convertible,14000.0,935.0,rural,0.1,approved,No,"12,000-14,399","600-1,199",46-50,13065.0,0,1
9639,61,SUV,10382.0,1717.0,rural,0.2,approved,No,"9,600-11,999","1,200-1,799",61-65,8665.0,0,1
9638,55,Saloon,14890.0,854.0,rural,0.0,declined,N/A,"14,400-16,799","600-1,199",51-55,14036.0,0,0
9631,55,SUV,10620.0,1662.0,rural,0.05,approved,No,"9,600-11,999","1,200-1,799",51-55,8958.0,0,1
9626,47,Saloon,2590.0,1348.0,urban,0.2,approved,No,"<4,800","1,200-1,799",46-50,1242.0,0,1
9625,25,SUV,20000.0,1184.0,rural,0.2,approved,No,"19,200-21,599","600-1,199",21-25,18816.0,0,1
9624,36,SUV,11613.0,656.0,urban,0.0,declined,N/A,"9,600-11,999","600-1,199",36-40,10957.0,0,0
9623,33,Saloon,3641.0,1176.0,rural,0.0,declined,N/A,"<4,800","600-1,199",31-35,2465.0,0,0
9622,25,SUV,4778.0,559.0,rural,0.05,approved,No,"<4,800",<600,21-25,4219.0,0,1
9617,56,Convertible,8361.0,1268.0,urban,0.2,approved,Yes,"7,200-9,599","1,200-1,799",56-60,7093.0,1,1
9616,50,Convertible,21522.0,515.0,urban,0.1,approved,No,"19,200-21,599",<600,46-50,21007.0,0,1
9615,36,SUV,11494.0,594.0,urban,0.25,approved,No,"9,600-11,999",<600,36-40,10900.0,0,1
9611,63,Saloon,14714.0,931.0,urban,0.15,approved,No,"14,400-16,799","600-1,199",61-65,13783.0,0,1
9610,29,Saloon,8379.0,1437.0,urban,0.0,declined,N/A,"7,200-9,599","1,200-1,799",26-30,6942.0,0,0
9608,46,Convertible,20323.0,1681.0,rural,0.15,approved,No,"19,200-21,599","1,200-1,799",46-50,18642.0,0,1
9605,29,SUV,13989.0,855.0,urban,0.1,approved,Yes,"12,000-14,399","600-1,199",26-30,13134.0,1,1
9603,49,SUV,13739.0,899.0,rural,0.2,approved,Yes,"12,000-14,399","600-1,199",46-50,12840.0,1,1
9601,61,SUV,14746.0,1530.0,rural,0.15,approved,Yes,"14,400-16,799","1,200-1,799",61-65,13216.0,1,1
9597,55,SUV,10698.0,883.0,urban,0.15,approved,Yes,"9,600-11,999","600-1,199",51-55,9815.0,1,1
9596,38,Convertible,9862.0,1279.0,rural,0.15,approved,No,"9,600-11,999","1,200-1,799",36-40,8583.0,0,1
9595,32,SUV,2734.0,893.0,rural,0.0,declined,N/A,"<4,800","600-1,199",31-35,1841.0,0,0
9594,53,Convertible,21308.0,1238.0,urban,0.05,approved,No,"19,200-21,599","1,200-1,799",51-55,20070.0,0,1
9592,44,SUV,17886.0,988.0,rural,0.15,approved,Yes,"16,800-19,199","600-1,199",41-45,16898.0,1,1
9590,55,Saloon,4148.0,658.0,rural,0.15,approved,No,"<4,800","600-1,199",51-55,3490.0,0,1
9588,39,SUV,13723.0,1313.0,rural,0.15,approved,Yes,"12,000-14,399","1,200-1,799",36-40,12410.0,1,1
9587,57,Saloon,7199.0,1498.0,urban,0.15,approved,Yes,"4,800-7,199","1,200-1,799",56-60,5701.0,1,1
9585,45,Saloon,2940.0,942.0,urban,0.0,declined,N/A,"<4,800","600-1,199",41-45,1998.0,0,0
9583,64,SUV,10783.0,641.0,urban,0.2,approved,Yes,"9,600-11,999","600-1,199",61-65,10142.0,1,1
9582,26,SUV,8858.0,1150.0,rural,0.0,declined,N/A,"7,200-9,599","600-1,199",26-30,7708.0,0,0
9573,62,SUV,8503.0,1258.0,rural,0.25,approved,No,"7,200-9,599","1,200-1,799",61-65,7245.0,0,1
9571,18,SUV,11556.0,1346.0,rural,0.25,approved,No,"9,600-11,999","1,200-1,799",18-20,10210.0,0,1
9569,36,Saloon,4349.0,685.0,urban,0.0,declined,N/A,"<4,800","600-1,199",36-40,3664.0,0,0
9568,27,SUV,16720.0,1338.0,urban,0.0,declined,N/A,"14,400-16,799","1,200-1,799",26-30,15382.0,0,0
9567,25,Saloon,3312.0,1690.0,rural,0.0,declined,N/A,"<4,800","1,200-1,799",21-25,1622.0,0,0
9565,20,Convertible,22771.0,849.0,urban,0.1,approved,No,"21,600-23,999","600-1,199",18-20,21922.0,0,1
9561,44,Saloon,4076.0,943.0,rural,0.2,approved,No,"<4,800","600-1,199",41-45,3133.0,0,1
9559,65,Saloon,3734.0,1204.0,urban,0.25,approved,Yes,"<4,800","1,200-1,799",61-65,2530.0,1,1
9558,20,Saloon,3934.0,1472.0,urban,0.0,declined,N/A,"<4,800","1,200-1,799",18-20,2462.0,0,0
9557,44,SUV,17288.0,1613.0,rural,0.25,approved,No,"16,800-19,199","1,200-1,799",41-45,15675.0,0,1
9552,42,Saloon,4128.0,615.0,rural,0.15,approved,No,"<4,800","600-1,199",41-45,3513.0,0,1
9550,39,Saloon,5400.0,990.0,urban,0.25,approved,Yes,"4,800-7,199","600-1,199",36-40,4410.0,1,1
9548,19,Saloon,4413.0,770.0,rural,0.0,declined,N/A,"<4,800","600-1,199",18-20,3643.0,0,0
9540,27,SUV,10094.0,1623.0,rural,0.2,approved,No,"9,600-11,999","1,200-1,799",26-30,8471.0,0,1
9538,21,SUV,10110.0,875.0,rural,0.0,declined,N/A,"9,600-11,999","600-1,199",21-25,9235.0,0,0
9536,64,Saloon,13363.0,1080.0,urban,0.15,approved,Yes,"12,000-14,399","600-1,199",61-65,12283.0,1,1
9531,65,Saloon,13165.0,825.0,urban,0.15,approved,Yes,"12,000-14,399","600-1,199",61-65,12340.0,1,1
9524,60,SUV,13194.0,1455.0,urban,0.15,approved,No,"12,000-14,399","1,200-1,799",56-60,11739.0,0,1
9519,52,Convertible,14769.0,1403.0,rural,0.05,approved,No,"14,400-16,799","1,200-1,799",51-55,13366.0,0,1
9517,30,Convertible,11947.0,1317.0,rural,0.0,declined,N/A,"9,600-11,999","1,200-1,799",26-30,10630.0,0,0
9516,64,SUV,2808.0,1435.0,rural,0.25,approved,No,"<4,800","1,200-1,799",61-65,1373.0,0,1
9515,47,Saloon,3375.0,702.0,rural,0.15,approved,No,"<4,800","600-1,199",46-50,2673.0,0,1
9513,43,SUV,18497.0,1488.0,urban,0.05,approved,No,"16,800-19,199","1,200-1,799",41-45,17009.0,0,1
9510,58,SUV,9343.0,977.0,urban,0.25,approved,Yes,"7,200-9,599","600-1,199",56-60,8366.0,1,1
9509,35,SUV,13505.0,996.0,rural,0.15,approved,No,"12,000-14,399","600-1,199",31-35,12509.0,0,1
9507,33,SUV,4535.0,741.0,urban,0.1,approved,No,"<4,800","600-1,199",31-35,3794.0,0,1
9506,44,Saloon,4281.0,592.0,urban,0.0,declined,N/A,"<4,800",<600,41-45,3689.0,0,0
9505,39,Convertible,12633.0,1322.0,rural,0.1,approved,No,"12,000-14,399","1,200-1,799",36-40,11311.0,0,1
9502,50,SUV,4916.0,1259.0,rural,0.05,approved,No,"4,800-7,199","1,200-1,799",46-50,3657.0,0,1
9495,44,SUV,3966.0,807.0,rural,0.2,approved,No,"<4,800","600-1,199",41-45,3159.0,0,1
9493,47,SUV,19387.0,572.0,urban,0.25,approved,No,"19,200-21,599",<600,46-50,18815.0,0,1
9490,43,SUV,11783.0,799.0,rural,0.0,declined,N/A,"9,600-11,999","600-1,199",41-45,10984.0,0,0
9488,54,Convertible,21956.0,1348.0,urban,0.1,approved,No,"21,600-23,999","1,200-1,799",51-55,20608.0,0,1
9487,65,Saloon,4328.0,1417.0,urban,0.2,approved,No,"<4,800","1,200-1,799",61-65,2911.0,0,1
9486,29,Saloon,3024.0,1433.0,rural,0.0,declined,N/A,"<4,800","1,200-1,799",26-30,1591.0,0,0
9485,30,Saloon,3000.0,648.0,rural,0.0,declined,N/A,"<4,800","600-1,199",26-30,2352.0,0,0
9483,29,Saloon,3356.0,871.0,urban,0.0,declined,N/A,"<4,800","600-1,199",26-30,2485.0,0,0
9479,30,Convertible,11846.0,907.0,rural,0.0,declined,N/A,"9,600-11,999","600-1,199",26-30,10939.0,0,0
9475,20,Saloon,5364.0,1050.0,rural,0.0,declined,N/A,"4,800-7,199","600-1,199",18-20,4314.0,0,0
9474,65,SUV,3013.0,1428.0,urban,0.15,approved,Yes,"<4,800","1,200-1,799",61-65,1585.0,1,1
9471,27,Saloon,13773.0,1157.0,rural,0.0,declined,N/A,"12,000-14,399","600-1,199",26-30,12616.0,0,0
9470,62,Convertible,22915.0,1043.0,urban,0.1,approved,No,"21,600-23,999","600-1,199",61-65,21872.0,0,1
9469,24,Saloon,5791.0,1413.0,urban,0.0,declined,N/A,"4,800-7,199","1,200-1,799",21-25,4378.0,0,0
9468,34,SUV,3948.0,546.0,rural,0.0,declined,N/A,"<4,800",<600,31-35,3402.0,0,0
9466,54,Convertible,18260.0,1170.0,rural,0.0,declined,N/A,"16,800-19,199","600-1,199",51-55,17090.0,0,0
9463,18,Saloon,4420.0,851.0,urban,0.0,declined,N/A,"<4,800","600-1,199",18-20,3569.0,0,0
9457,30,Saloon,3890.0,662.0,rural,0.0,declined,N/A,"<4,800","600-1,199",26-30,3228.0,0,0
9455,33,Saloon,4407.0,1277.0,rural,0.0,declined,N/A,"<4,800","1,200-1,799",31-35,3130.0,0,0
9447,60,SUV,19544.0,1620.0,urban,0.05,approved,Yes,"19,200-21,599","1,200-1,799",56-60,17924.0,1,1
9437,35,Convertible,22959.0,811.0,urban,0.15,approved,No,"21,600-23,999","600-1,199",31-35,22148.0,0,1
9436,35,Saloon,13522.0,1404.0,urban,0.0,declined,N/A,"12,000-14,399","1,200-1,799",31-35,12118.0,0,0
9434,57,Convertible,9595.0,1037.0,rural,0.0,declined,N/A,"7,200-9,599","600-1,199",56-60,8558.0,0,0
9433,33,Saloon,4189.0,728.0,urban,0.15,approved,Yes,"<4,800","600-1,199",31-35,3461.0,1,1
9431,45,Saloon,6388.0,1237.0,rural,0.0,declined,N/A,"4,800-7,199","1,200-1,799",41-45,5151.0,0,0
9430,29,SUV,5903.0,1404.0,urban,0.25,approved,Yes,"4,800-7,199","1,200-1,799",26-30,4499.0,1,1
9429,25,Saloon,5054.0,526.0,urban,0.15,approved,No,"4,800-7,199",<600,21-25,4528.0,0,1
